Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole;Note
MK;Indicateurs macro;239;Îles Vierges britanniques;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;40819.893836;X;Sources internationales sûres;
MK;Indicateurs macro;100;Inde;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1961.338029;X;Sources internationales sûres;
MK;Indicateurs macro;101;Indonésie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;3837.578117;X;Sources internationales sûres;
MK;Indicateurs macro;102;Iran (République islamique d');6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;5714.068676;X;Sources internationales sûres;
MK;Indicateurs macro;103;Iraq;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;5076.691876;X;Sources internationales sûres;
MK;Indicateurs macro;104;Irlande;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;71391.006104;X;Sources internationales sûres;
MK;Indicateurs macro;99;Islande;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;73231.725965;X;Sources internationales sûres;
MK;Indicateurs macro;105;Israël;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;42850.548478;X;Sources internationales sûres;
MK;Indicateurs macro;106;Italie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;32333.550863;X;Sources internationales sûres;
MK;Indicateurs macro;109;Jamaïque;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;5070.097753;X;Sources internationales sûres;
MK;Indicateurs macro;110;Japon;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;38170.669761;X;Sources internationales sûres;
MK;Indicateurs macro;112;Jordanie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;4231.464852;X;Sources internationales sûres;
MK;Indicateurs macro;108;Kazakhstan;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;9225.974208;X;Sources internationales sûres;
MK;Indicateurs macro;114;Kenya;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1572.345619;X;Sources internationales sûres;
MK;Indicateurs macro;113;Kirghizistan;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1244.470221;X;Sources internationales sûres;
MK;Indicateurs macro;83;Kiribati;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1640.552063;X;Sources internationales sûres;
MK;Indicateurs macro;118;Koweït;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;29754.608017;X;Sources internationales sûres;
MK;Indicateurs macro;122;Lesotho;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1149.151207;X;Sources internationales sûres;
MK;Indicateurs macro;119;Lettonie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;15611.095187;X;Sources internationales sûres;
MK;Indicateurs macro;121;Liban;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;7792.598861;X;Sources internationales sûres;
MK;Indicateurs macro;123;Libéria;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;587.594046;X;Sources internationales sûres;
MK;Indicateurs macro;124;Libye;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;3769.311139;X;Sources internationales sûres;
MK;Indicateurs macro;125;Liechtenstein;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;171278.066389;X;Sources internationales sûres;
MK;Indicateurs macro;126;Lituanie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;16784.459812;X;Sources internationales sûres;
MK;Indicateurs macro;256;Luxembourg;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;108431.931751;X;Sources internationales sûres;
MK;Indicateurs macro;154;Macédoine du Nord;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;5430.875559;X;Sources internationales sûres;
MK;Indicateurs macro;129;Madagascar;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;515.293303;X;Sources internationales sûres;
MK;Indicateurs macro;131;Malaisie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;10259.211512;X;Sources internationales sûres;
MK;Indicateurs macro;130;Malawi;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;359.232443;X;Sources internationales sûres;
MK;Indicateurs macro;132;Maldives;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;9577.354296;X;Sources internationales sûres;
MK;Indicateurs macro;133;Mali;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;830.0214;X;Sources internationales sûres;
MK;Indicateurs macro;134;Malte;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;29205.178362;X;Sources internationales sûres;
MK;Indicateurs macro;143;Maroc;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;3082.599304;X;Sources internationales sûres;
MK;Indicateurs macro;137;Maurice;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;10485.851087;X;Sources internationales sûres;
MK;Indicateurs macro;136;Mauritanie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1578.114913;X;Sources internationales sûres;
MK;Indicateurs macro;138;Mexique;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;9278.409912;X;Sources internationales sûres;
MK;Indicateurs macro;145;Micronésie (États fédérés de);6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;3289.999013;X;Sources internationales sûres;
MK;Indicateurs macro;140;Monaco;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;167516.046763;X;Sources internationales sûres;
MK;Indicateurs macro;141;Mongolie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;3669.409235;X;Sources internationales sûres;
MK;Indicateurs macro;273;Monténégro;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;7738.844301;X;Sources internationales sûres;
MK;Indicateurs macro;142;Montserrat;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;11971.64259;X;Sources internationales sûres;
MK;Indicateurs macro;144;Mozambique;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;461.414754;X;Sources internationales sûres;
MK;Indicateurs macro;28;Myanmar;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1274.989612;X;Sources internationales sûres;
MK;Indicateurs macro;147;Namibie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;5300.095958;X;Sources internationales sûres;
MK;Indicateurs macro;148;Nauru;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;12176.618389;X;Sources internationales sûres;
MK;Indicateurs macro;149;Népal;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;926.088988;X;Sources internationales sûres;
MK;Indicateurs macro;157;Nicaragua;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;2159.158239;X;Sources internationales sûres;
MK;Indicateurs macro;158;Niger;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;517.075144;X;Sources internationales sûres;
MK;Indicateurs macro;159;Nigéria;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1968.687237;X;Sources internationales sûres;
