Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;23;Belize;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;489;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;23;Belize;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;25.14;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;53;Bénin;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2631;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;53;Bénin;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;51.21;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;53;Bénin;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;126;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;53;Bénin;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;13.02;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;19;Bolivie (État plurinational de);664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1850;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;19;Bolivie (État plurinational de);674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;37.59;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;19;Bolivie (État plurinational de);664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;549;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;19;Bolivie (État plurinational de);674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;35.87;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;80;Bosnie-Herzégovine;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2664;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;80;Bosnie-Herzégovine;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;60.85;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;80;Bosnie-Herzégovine;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;609;Fc;Donnée calculée
