Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;63;Estonie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;28;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;209;Eswatini;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;6;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;209;Eswatini;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;7;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;231;États-Unis d'Amérique;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;21914;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;231;États-Unis d'Amérique;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;18140;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;238;Éthiopie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;71;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;238;Éthiopie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;72;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;185;Fédération de Russie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;4542;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;185;Fédération de Russie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;4634;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;66;Fidji;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;34;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;66;Fidji;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;22;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;67;Finlande;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;129;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;67;Finlande;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;104;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;68;France;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1750;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;68;France;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1482;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;74;Gabon;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;4;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;74;Gabon;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;61;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;75;Gambie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;75;Gambie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;8;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;73;Géorgie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;22;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;73;Géorgie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;61;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;81;Ghana;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;58;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;81;Ghana;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;209;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;84;Grèce;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;246;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;84;Grèce;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;162;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;86;Grenade;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;86;Grenade;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;5;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;89;Guatemala;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;224;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;89;Guatemala;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;328;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;90;Guinée;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;15;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;90;Guinée;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;25;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;175;Guinée-Bissau;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;3;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;175;Guinée-Bissau;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;4;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;91;Guyana;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;31;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;91;Guyana;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;30;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;93;Haïti;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;9;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;93;Haïti;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;91;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;95;Honduras;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;193;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;95;Honduras;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;203;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;97;Hongrie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;493;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;97;Hongrie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;246;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;25;Îles Salomon;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;25;Îles Salomon;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;3;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;100;Inde;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;3526;Im;Données de la FAO basées sur une méthodologie d'imputation
